RGPs	cluster	spot_id
NZ_CP149838.1_RGP_21	cluster_5642	spot_22
NZ_CP195994.1_RGP_21	cluster_5642	spot_22
NZ_JAVLVV010000005.1_RGP_0	cluster_5642	spot_22
NZ_JAPQYG010000005.1_RGP_0	cluster_5642	spot_22
NZ_JBDGHD010000008.1_RGP_0	cluster_5642	spot_22
NZ_CP175653.1_RGP_22	cluster_5642	spot_22
NZ_LRDZ01000014.1_RGP_2	cluster_5642	spot_22
NZ_CP125223.1_RGP_23	cluster_5642	spot_22
NZ_CP154372.1_RGP_26	cluster_5642	spot_22
NZ_JAYXCY010000022.1_RGP_0	cluster_5642	spot_22
NZ_JBIMLJ010000034.1_RGP_0	cluster_5642	No spot
NZ_JBEUQM010000005.1_RGP_0	cluster_5642	spot_22
NZ_JARVYS010000006.1_RGP_0	cluster_5642	spot_22
NZ_CP169782.1_RGP_23	cluster_5642	spot_22
NZ_JEXC01000023.1_RGP_1	cluster_5642	spot_22
NZ_LZTS01000043.1_RGP_0	cluster_5642	No spot
NZ_OVCA01000003.1_RGP_1	cluster_5642	spot_22
NZ_JASGNK010000001.1_RGP_19	cluster_5642	spot_22
NZ_RXYO01000052.1_RGP_1	cluster_5642	spot_22
NZ_CP139831.1_RGP_21	cluster_5642	spot_22
NZ_JAIGXE010000003.1_RGP_0	cluster_5642	spot_22
NZ_JBIYWY010000011.1_RGP_0	cluster_5642	spot_22
NZ_JAIGXY010000041.1_RGP_0	cluster_5642	No spot
NZ_JBIMAY010000008.1_RGP_0	cluster_5642	spot_22
NZ_LZAM01000006.1_RGP_0	cluster_5642	No spot
NZ_CP175656.1_RGP_22	cluster_5642	spot_22
NZ_AMIV01000022.1_RGP_0	cluster_0	spot_13
NZ_JBOIPL010000001.1_RGP_4	cluster_0	spot_13
NZ_LLCT01001369.1_RGP_1	cluster_0	spot_13
NZ_JAWNZA010000001.1_RGP_24	cluster_0	spot_13
NZ_LUUY01000342.1_RGP_0	cluster_0	No spot
NZ_JAXOSJ010000002.1_RGP_6	cluster_0	spot_13
NZ_JBLJFN010000013.1_RGP_1	cluster_0	spot_13
NZ_CP137075.1_RGP_27	cluster_0	spot_13
NZ_CP191188.1_RGP_27	cluster_0	spot_13
NZ_JAKLYD010000040.1_RGP_0	cluster_0	spot_13
NZ_JBJOWT010000010.1_RGP_0	cluster_0	spot_13
NZ_JACSSV010000035.1_RGP_0	cluster_0	spot_13
NZ_CP117764.1_RGP_25	cluster_0	spot_13
NZ_JPLJ01000043.1_RGP_1	cluster_0	spot_13
NZ_CP169869.1_RGP_20	cluster_0	spot_13
NZ_JARVYW010000005.1_RGP_3	cluster_0	spot_13
NZ_JBHYCB010000002.1_RGP_2	cluster_0	spot_13
NZ_ASFZ01000041.1_RGP_4	cluster_0	spot_13
NZ_JBIUGX010000044.1_RGP_0	cluster_0	No spot
NZ_CAXYPT010000003.1_RGP_25	cluster_0	spot_13
NZ_JARXLG010000001.1_RGP_24	cluster_0	spot_13
NZ_JARTYG010000068.1_RGP_2	cluster_0	spot_13
NZ_JBAGBS010000029.1_RGP_0	cluster_0	No spot
NZ_RHYF01000006.1_RGP_1	cluster_0	spot_13
NZ_JBDXUM010000044.1_RGP_1	cluster_0	spot_13
NZ_JAXOSN010000001.1_RGP_15	cluster_0	spot_13
NZ_JBKAHC010000001.1_RGP_26	cluster_0	spot_13
NZ_AOLU01000028.1_RGP_0	cluster_0	spot_13
NZ_JFEU01000002.1_RGP_3	cluster_0	spot_13
NZ_JAUENH010000020.1_RGP_1	cluster_0	spot_13
NZ_JAQSVA010000020.1_RGP_2	cluster_0	spot_13
NZ_JADAIY010000155.1_RGP_0	cluster_0	No spot
NZ_JBJOWV010000006.1_RGP_0	cluster_0	spot_13
NZ_JBJOWU010000028.1_RGP_0	cluster_0	spot_13
NZ_CP091338.1_RGP_27	cluster_0	spot_13
NZ_JAYXAN010000027.1_RGP_0	cluster_0	No spot
NZ_CP046549.1_RGP_25	cluster_0	spot_13
NZ_JBAITJ010000008.1_RGP_2	cluster_0	spot_13
NZ_CP050914.1_RGP_23	cluster_0	spot_13
NZ_JBAITD010000008.1_RGP_2	cluster_0	spot_13
NZ_CP014540.1_RGP_28	cluster_0	spot_13
NZ_JABLVE010000020.1_RGP_1	cluster_0	spot_13
NZ_CP037872.1_RGP_20	cluster_0	spot_13
NZ_JBAIUR010000012.1_RGP_0	cluster_0	spot_13
NZ_RXYO01000046.1_RGP_4	cluster_0	spot_13
NZ_CP139208.1_RGP_21	cluster_0	spot_13
NZ_WJOD01000021.1_RGP_0	cluster_0	spot_13
NZ_KB849242.1_RGP_16	cluster_0	spot_13
NZ_JBNPPH010000002.1_RGP_26	cluster_0	spot_13
NZ_CP074698.1_RGP_28	cluster_0	spot_13
NZ_JBAJXK010000032.1_RGP_0	cluster_0	spot_13
NZ_JAPQKA010000003.1_RGP_1	cluster_0	spot_13
NZ_JBIMBR010000001.1_RGP_8	cluster_0	spot_13
NZ_JAIEVH010000013.1_RGP_2	cluster_0	spot_13
NZ_CP134564.1_RGP_21	cluster_0	spot_13
NZ_JAIWSI010000043.1_RGP_0	cluster_0	No spot
NZ_NQXU01000001.1_RGP_3	cluster_0	spot_13
NZ_JRTZ01000004.1_RGP_2	cluster_0	spot_13
NZ_LTCY01000008.1_RGP_3	cluster_0	spot_13
NZ_AMFL01000010.1_RGP_3	cluster_0	spot_13
NZ_JAQFHQ010000076.1_RGP_0	cluster_0	No spot
NZ_JAPCWS010000017.1_RGP_0	cluster_0	spot_13
NZ_JAQQNY010000003.1_RGP_1	cluster_0	spot_13
NZ_JBJOWO010000006.1_RGP_0	cluster_0	No spot
NZ_JABESZ010000221.1_RGP_0	cluster_0	No spot
NZ_JBNPBL010000021.1_RGP_0	cluster_0	spot_13
NZ_RFDD01000005.1_RGP_0	cluster_0	spot_13
NZ_CP078528.1_RGP_15	cluster_0	spot_13
NZ_VHEL01000016.1_RGP_2	cluster_0	spot_13
NZ_JACSVK010000025.1_RGP_0	cluster_0	spot_13
NZ_SMUR01000061.1_RGP_0	cluster_0	spot_13
NZ_JAXOQD010000005.1_RGP_3	cluster_0	spot_13
NZ_KB849894.1_RGP_24	cluster_0	spot_13
NZ_JAAOSA010000001.1_RGP_3	cluster_0	spot_13
NZ_JBPTSP010000012.1_RGP_0	cluster_0	spot_13
NZ_CP087317.1_RGP_27	cluster_0	spot_13
NZ_JAYWXY010000006.1_RGP_2	cluster_0	spot_13
NZ_VHHC01000058.1_RGP_0	cluster_0	No spot
NZ_AMFS01000002.1_RGP_1	cluster_0	spot_13
NZ_JAUEMN010000026.1_RGP_0	cluster_0	spot_13
NZ_JBDGGY010000004.1_RGP_1	cluster_0	spot_13
NZ_JARVZP010000002.1_RGP_6	cluster_0	spot_13
NZ_JAXORP010000001.1_RGP_6	cluster_0	spot_13
NZ_JASKIE010000001.1_RGP_2	cluster_0	spot_13
NZ_JARVYR010000003.1_RGP_3	cluster_0	spot_13
NZ_CM125434.1_RGP_23	cluster_0	spot_13
NZ_JEWL01000039.1_RGP_0	cluster_0	No spot
NZ_JBMBUW010000001.1_RGP_3	cluster_0	spot_13
NZ_JAIEUU010000004.1_RGP_2	cluster_0	spot_13
NZ_CP014215.1_RGP_29	cluster_0	spot_13
NZ_JBMBUY010000001.1_RGP_7	cluster_0	spot_13
NZ_JAKOLF010000016.1_RGP_0	cluster_0	spot_13
NZ_JAVLRC010000043.1_RGP_0	cluster_0	spot_13
NZ_CP087312.1_RGP_25	cluster_0	spot_13
NZ_OVCD01000022.1_RGP_0	cluster_0	spot_13
NZ_UCTG02000025.1_RGP_4	cluster_0	spot_13
NZ_JARNLP010000009.1_RGP_0	cluster_0	spot_13
NZ_JAOBTB010000002.1_RGP_2	cluster_0	spot_13
NZ_CAJHGB010000014.1_RGP_1	cluster_0	spot_13
NZ_JAVLRI010000005.1_RGP_0	cluster_0	spot_13
NZ_JMNJ01000012.1_RGP_1	cluster_0	spot_13
NZ_LDDY01000001.1_RGP_2	cluster_0	spot_13
NZ_CP066235.1_RGP_24	cluster_0	spot_13
NZ_AP031585.1_RGP_33	cluster_0	spot_13
NZ_JAYWYL010000001.1_RGP_11	cluster_0	spot_13
NZ_CP134552.1_RGP_19	cluster_0	spot_13
NZ_KE340370.1_RGP_15	cluster_0	spot_13
NZ_JRQY01000018.1_RGP_1	cluster_0	spot_13
NZ_JBFWFK010000003.1_RGP_2	cluster_0	spot_13
NZ_CP059300.1_RGP_33	cluster_0	spot_13
NZ_JBLODW010000291.1_RGP_0	cluster_0	No spot
NZ_UFKS01000002.1_RGP_4	cluster_0	spot_13
NZ_JARFKE010000001.1_RGP_8	cluster_0	spot_13
NZ_KB849885.1_RGP_11	cluster_0	spot_13
NZ_JBHYCI010000021.1_RGP_1	cluster_0	spot_13
NZ_JASKIO010000020.1_RGP_0	cluster_0	spot_13
NZ_MSMH01000432.1_RGP_0	cluster_0	No spot
NZ_UFJT01000001.1_RGP_10	cluster_0	spot_13
NZ_JAXISJ010000078.1_RGP_0	cluster_0	No spot
NZ_NCZV01000094.1_RGP_1	cluster_0	spot_13
NZ_MSMY01000027.1_RGP_2	cluster_0	spot_13
NZ_JAVDNJ010000044.1_RGP_0	cluster_0	spot_13
NZ_JADVLH010000002.1_RGP_3	cluster_0	spot_13
NZ_NGEY01000014.1_RGP_3	cluster_0	spot_13
NZ_JBAITN010000001.1_RGP_8	cluster_0	spot_13
NZ_JEWY01000021.1_RGP_0	cluster_0	spot_13
NZ_CP157260.1_RGP_25	cluster_0	spot_13
NZ_CP096693.1_RGP_23	cluster_0	spot_13
NZ_JABJRY010000001.1_RGP_0	cluster_0	spot_13
NZ_JAXORK010000016.1_RGP_0	cluster_0	spot_13
NZ_JAYXAS010000002.1_RGP_8	cluster_0	spot_13
NZ_JBDGHD010000016.1_RGP_2	cluster_0	spot_13
NZ_CP169375.1_RGP_24	cluster_0	spot_13
NZ_LT605059.1_RGP_27	cluster_0	spot_13
NZ_CP076812.1_RGP_32	cluster_0	spot_13
NZ_JAPQYS010000017.1_RGP_0	cluster_0	spot_13
NZ_JBAIUS010000026.1_RGP_0	cluster_0	No spot
NZ_JAVVDF010000034.1_RGP_0	cluster_0	No spot
NZ_JBPEKZ010000002.1_RGP_1	cluster_0	spot_13
NZ_JAPJUU010000001.1_RGP_8	cluster_0	spot_13
NZ_SMUK01000006.1_RGP_0	cluster_0	spot_13
NZ_JAXORB010000006.1_RGP_3	cluster_0	spot_13
NZ_CP134597.1_RGP_21	cluster_0	spot_13
NZ_JAXOQV010000001.1_RGP_7	cluster_0	spot_13
NZ_CP131893.1_RGP_24	cluster_0	spot_13
NZ_JBFBPR010000020.1_RGP_1	cluster_0	spot_13
NZ_JAPQZC010000013.1_RGP_2	cluster_0	spot_13
NZ_JBLYUQ010000005.1_RGP_0	cluster_0	spot_13
NZ_JAQFHR020000001.1_RGP_26	cluster_0	spot_13
NZ_CP085788.1_RGP_28	cluster_0	spot_13
NZ_JBDNEL010000001.1_RGP_5	cluster_0	spot_13
NZ_JBMACQ010000033.1_RGP_0	cluster_0	spot_13
NZ_CP185768.1_RGP_24	cluster_0	spot_13
NZ_CP136172.1_RGP_24	cluster_0	spot_13
NZ_CP134565.1_RGP_27	cluster_0	spot_13
NZ_CP142019.1_RGP_22	cluster_0	spot_13
NZ_RZNI01000003.1_RGP_3	cluster_0	spot_13
NZ_JAVDLL010000039.1_RGP_0	cluster_0	No spot
NZ_CAUZGU010000007.1_RGP_0	cluster_0	spot_13
NZ_JALKVB010000001.1_RGP_11	cluster_0	spot_13
NZ_CACSGY010000012.1_RGP_5	cluster_0	spot_13
NZ_JARVYG010000001.1_RGP_13	cluster_0	spot_13
NZ_CP096764.1_RGP_23	cluster_0	spot_13
NZ_JARNMD010000004.1_RGP_0	cluster_0	spot_13
NZ_JBDNDY010000001.1_RGP_8	cluster_0	spot_13
NZ_CP134570.1_RGP_23	cluster_0	spot_13
NZ_JAADZR010000002.1_RGP_18	cluster_0	spot_13
NZ_JBIMAE010000001.1_RGP_16	cluster_0	spot_13
NZ_CP134583.1_RGP_22	cluster_0	spot_13
NZ_JAVLVV010000001.1_RGP_12	cluster_0	spot_13
NZ_CP113442.1_RGP_26	cluster_0	spot_13
NZ_JABJRQ010000012.1_RGP_8	cluster_0	spot_13
NZ_JBMFCH010000003.1_RGP_3	cluster_0	spot_13
NZ_CP121563.1_RGP_24	cluster_0	spot_13
NZ_JBDGGL010000027.1_RGP_5	cluster_0	spot_13
NZ_JBMBVN010000001.1_RGP_8	cluster_0	spot_13
NZ_JBBOOA010000004.1_RGP_3	cluster_0	spot_13
NZ_JARVZL010000001.1_RGP_5	cluster_0	spot_13
NZ_JBIUGR010000085.1_RGP_0	cluster_0	No spot
NZ_CP065051.1_RGP_23	cluster_0	spot_13
NZ_JABLVV010000013.1_RGP_1	cluster_0	spot_13
NZ_RPDK01000005.1_RGP_2	cluster_0	spot_13
NZ_CP122363.1_RGP_24	cluster_0	spot_13
NZ_JAERPP010000026.1_RGP_0	cluster_0	spot_13
NZ_CP076804.1_RGP_26	cluster_0	spot_13
NZ_MABV01000051.1_RGP_0	cluster_0	No spot
NZ_JBMBVB010000003.1_RGP_0	cluster_0	spot_13
NZ_JAFIAT010000043.1_RGP_0	cluster_0	No spot
NZ_JAIEVE010000029.1_RGP_0	cluster_0	No spot
NZ_JAXOTD010000006.1_RGP_3	cluster_0	spot_13
NZ_JAYXCY010000012.1_RGP_3	cluster_0	spot_13
NZ_JASGYB010000036.1_RGP_0	cluster_0	spot_13
NZ_JAYDQI010000024.1_RGP_0	cluster_0	spot_13
NZ_MSOL01000019.1_RGP_0	cluster_0	spot_13
NZ_CP132214.1_RGP_29	cluster_0	spot_13
NZ_CP058729.1_RGP_25	cluster_0	spot_13
NZ_CP121591.1_RGP_21	cluster_0	spot_13
NZ_JAEPWF010000006.1_RGP_2	cluster_0	spot_13
NZ_JAFHFL010000001.1_RGP_2	cluster_0	spot_13
NZ_NIWR01000013.1_RGP_2	cluster_0	spot_13
NZ_PHJZ02000022.1_RGP_2	cluster_0	spot_13
NZ_JARNLK010000012.1_RGP_2	cluster_0	spot_13
NZ_CP049314.1_RGP_20	cluster_0	spot_13
NZ_CP163382.1_RGP_21	cluster_0	spot_13
NZ_CP134591.1_RGP_20	cluster_0	spot_13
NZ_JAXOSO010000001.1_RGP_14	cluster_0	spot_13
NZ_LZXN01000042.1_RGP_1	cluster_0	spot_13
NZ_UFHK01000001.1_RGP_13	cluster_0	spot_13
NZ_LZWU01000067.1_RGP_1	cluster_0	spot_13
NZ_JARUPN010000014.1_RGP_0	cluster_0	No spot
NZ_JFEQ01000001.1_RGP_13	cluster_0	spot_13
NZ_JAPCWJ010000039.1_RGP_0	cluster_0	spot_13
NZ_JBNOQJ010000004.1_RGP_0	cluster_0	spot_13
NZ_JAIGVH010000002.1_RGP_4	cluster_0	spot_13
NZ_MDTT01000017.1_RGP_0	cluster_0	spot_13
NZ_JABTWD010000003.1_RGP_2	cluster_0	spot_13
NZ_JAYDQP010000002.1_RGP_3	cluster_0	spot_13
NZ_JAATOE010000001.1_RGP_1	cluster_0	spot_13
NZ_JAOBQI010000012.1_RGP_0	cluster_0	spot_13
NZ_JBJOWK010000039.1_RGP_0	cluster_0	No spot
NZ_AYGG01000061.1_RGP_0	cluster_0	spot_13
NZ_JAXORW010000012.1_RGP_0	cluster_0	spot_13
NZ_JBJOWR010000042.1_RGP_0	cluster_0	No spot
NZ_JGAJ01000019.1_RGP_1	cluster_0	spot_13
NZ_PRHJ01000020.1_RGP_0	cluster_0	spot_13
NZ_CP106988.1_RGP_25	cluster_0	spot_13
NZ_CP156044.1_RGP_30	cluster_0	spot_13
NZ_CP050400.1_RGP_26	cluster_0	spot_13
NZ_CP109836.1_RGP_29	cluster_0	spot_13
NZ_JAPOMY010000068.1_RGP_2	cluster_0	spot_13
NZ_LLGL01000211.1_RGP_0	cluster_0	No spot
NZ_JABLVW010000015.1_RGP_1	cluster_0	spot_13
NZ_NGDD01000067.1_RGP_0	cluster_0	No spot
NZ_QFCB01000015.1_RGP_0	cluster_0	spot_13
NZ_CP091365.1_RGP_28	cluster_0	spot_13
NZ_JBIMBW010000001.1_RGP_13	cluster_0	spot_13
NZ_SEUC01000001.1_RGP_10	cluster_0	spot_13
NZ_JBMBVR010000001.1_RGP_10	cluster_0	spot_13
NZ_CP048827.1_RGP_27	cluster_0	spot_13
NZ_LLDB01000018.1_RGP_4	cluster_0	spot_13
NZ_VAHA01000003.1_RGP_0	cluster_0	spot_13
NZ_RFBY01000025.1_RGP_0	cluster_0	spot_13
NZ_JAIWSO010000044.1_RGP_0	cluster_0	spot_13
NZ_CAUZGK010000002.1_RGP_3	cluster_0	spot_13
NZ_AMFP01000093.1_RGP_3	cluster_0	spot_13
NZ_JAIWTA010000024.1_RGP_0	cluster_0	spot_13
NZ_JBIMAX020000001.1_RGP_14	cluster_0	spot_13
NZ_JAMKOL010000005.1_RGP_0	cluster_0	spot_13
NZ_JACDYI010000014.1_RGP_2	cluster_0	spot_13
NZ_LZAM01000024.1_RGP_1	cluster_0	spot_13
NZ_LLHS01000178.1_RGP_0	cluster_0	No spot
NZ_JBBKCN010000002.1_RGP_3	cluster_0	spot_13
NZ_JBAIUM010000003.1_RGP_1	cluster_0	spot_13
NZ_CP096681.1_RGP_28	cluster_0	spot_13
NZ_CP096894.1_RGP_28	cluster_0	spot_13
NZ_RFBQ01000003.1_RGP_2	cluster_0	spot_13
NZ_JBJOWI010000028.1_RGP_0	cluster_0	No spot
NZ_AMFI01000004.1_RGP_3	cluster_0	spot_13
NZ_NIWP01000005.1_RGP_0	cluster_0	spot_13
NZ_JBDGET010000012.1_RGP_1	cluster_0	spot_13
NZ_JACBOL010000002.1_RGP_0	cluster_0	spot_13
NZ_CP087309.1_RGP_25	cluster_0	spot_13
NZ_JBNFQB010000003.1_RGP_1	cluster_0	spot_13
NZ_VLTP01000022.1_RGP_0	cluster_0	No spot
NZ_JALKQT010000006.1_RGP_0	cluster_0	spot_13
NZ_CP195693.1_RGP_24	cluster_0	spot_13
NZ_JBAITK010000001.1_RGP_7	cluster_0	spot_13
NZ_UISY01000017.1_RGP_0	cluster_0	spot_13
NZ_JBIYWY010000030.1_RGP_0	cluster_0	spot_13
NZ_LZTS01000073.1_RGP_1	cluster_0	spot_13
NZ_JBIMAL010000001.1_RGP_8	cluster_0	spot_13
NZ_CP021345.1_RGP_32	cluster_0	spot_13
NZ_JBNPBH010000002.1_RGP_6	cluster_0	spot_13
NZ_CP091346.1_RGP_28	cluster_0	spot_13
NZ_JBMRJS010000003.1_RGP_0	cluster_0	spot_13
NZ_JAFFOZ010000016.1_RGP_0	cluster_0	spot_13
NZ_CP149800.1_RGP_22	cluster_0	spot_13
NZ_JARBXJ010000020.1_RGP_0	cluster_0	spot_13
NZ_AMDF01000030.1_RGP_0	cluster_0	spot_13
NZ_MSNO01000044.1_RGP_0	cluster_0	spot_13
NZ_JBJLVH010000001.1_RGP_26	cluster_0	spot_13
NZ_JABJRM010000025.1_RGP_4	cluster_0	spot_13
NZ_JAPJUN010000001.1_RGP_13	cluster_0	spot_13
NZ_JAREUM010000002.1_RGP_3	cluster_0	spot_13
NZ_PGMS01000022.1_RGP_1	cluster_0	spot_13
NZ_QCXU01000013.1_RGP_0	cluster_0	spot_13
NZ_JAOEBX010000038.1_RGP_0	cluster_0	spot_13
NZ_WJOF01000008.1_RGP_0	cluster_0	spot_13
NZ_CP190387.1_RGP_27	cluster_0	spot_13
NZ_NTCX01000001.1_RGP_28	cluster_0	spot_13
NZ_CP106943.1_RGP_20	cluster_0	spot_13
NZ_CP169842.1_RGP_25	cluster_0	spot_13
NZ_VLFB01000004.1_RGP_1	cluster_0	No spot
NZ_JAIWUN010000005.1_RGP_2	cluster_0	spot_13
NZ_JAPQZD010000005.1_RGP_2	cluster_0	spot_13
NZ_JBDGGZ010000005.1_RGP_2	cluster_0	spot_13
NZ_JANEYA010000001.1_RGP_24	cluster_0	spot_13
NZ_UFOT01000014.1_RGP_0	cluster_0	spot_13
NZ_MPPK01000002.1_RGP_3	cluster_0	spot_13
NZ_JARVZJ010000001.1_RGP_8	cluster_0	spot_13
NZ_JBPSCF010000004.1_RGP_1	cluster_0	spot_13
NZ_JAVLWB010000002.1_RGP_3	cluster_0	spot_13
NZ_JACDYF010000006.1_RGP_1	cluster_0	spot_13
NZ_JBDNEF010000063.1_RGP_0	cluster_0	No spot
NZ_JARVZN010000002.1_RGP_4	cluster_0	spot_13
NZ_JBEOIO010000001.1_RGP_9	cluster_0	spot_13
NZ_JBMBVO010000001.1_RGP_6	cluster_0	spot_13
NZ_JAWJDR010000057.1_RGP_0	cluster_0	No spot
NZ_CP031444.1_RGP_27	cluster_0	spot_13
NZ_UFOK01000015.1_RGP_0	cluster_0	spot_13
NZ_JASGNK010000001.1_RGP_21	cluster_0	spot_13
NZ_RQLP01000141.1_RGP_3	cluster_0	spot_13
NZ_CP087321.1_RGP_28	cluster_0	spot_13
NZ_UFKU01000006.1_RGP_0	cluster_0	spot_13
NZ_UFSC01000003.1_RGP_29	cluster_0	spot_13
NZ_JBJLUC010000007.1_RGP_0	cluster_0	spot_13
NZ_LYLH01000088.1_RGP_0	cluster_0	spot_13
NZ_JPHX01000042.1_RGP_2	cluster_0	spot_13
NZ_CP078099.1_RGP_27	cluster_0	spot_13
NZ_CP137061.1_RGP_23	cluster_0	spot_13
NZ_CP190359.1_RGP_26	cluster_0	spot_13
NZ_JAENTD010000062.1_RGP_0	cluster_0	spot_13
NZ_NQXR01000004.1_RGP_2	cluster_0	spot_13
NZ_JAJBHY010000001.1_RGP_21	cluster_0	spot_13
NZ_JADQAD010000001.1_RGP_4	cluster_0	spot_13
NZ_JAKIIL010000002.1_RGP_3	cluster_0	spot_13
NZ_CP017644.1_RGP_29	cluster_0	spot_13
NZ_CP190362.1_RGP_24	cluster_0	spot_13
NZ_JBKERV010000052.1_RGP_0	cluster_0	No spot
NZ_CP134595.1_RGP_23	cluster_0	spot_13
NZ_JBQAVF010000004.1_RGP_1	cluster_0	spot_13
NZ_JASGXQ010000013.1_RGP_0	cluster_0	spot_13
NZ_JACDYN010000010.1_RGP_2	cluster_0	spot_13
NZ_JACKXK010000006.1_RGP_0	cluster_0	spot_13
NZ_JADVMP010000001.1_RGP_21	cluster_0	spot_13
NZ_JAIWUV010000039.1_RGP_0	cluster_0	No spot
NZ_JAXKQT010000016.1_RGP_1	cluster_0	spot_13
NZ_JAVDME010000041.1_RGP_0	cluster_0	No spot
NZ_RFDE01000006.1_RGP_1	cluster_0	spot_13
NZ_JFFD01000002.1_RGP_4	cluster_0	spot_13
NZ_MSMZ01000084.1_RGP_0	cluster_0	spot_13
NZ_JBDXUV010000054.1_RGP_0	cluster_0	spot_13
NZ_CP099857.1_RGP_23	cluster_0	spot_13
NZ_RHYE01000025.1_RGP_0	cluster_0	spot_13
NZ_JAVLRK010000003.1_RGP_3	cluster_0	spot_13
NZ_MEDH01000001.1_RGP_6	cluster_0	spot_13
NZ_VHGK01000064.1_RGP_0	cluster_0	No spot
NZ_CP091370.1_RGP_23	cluster_0	spot_13
NZ_JACYXX010000001.1_RGP_16	cluster_0	spot_13
NZ_CP191205.1_RGP_21	cluster_0	spot_13
NZ_JARTYE010000024.1_RGP_9	cluster_0	spot_13
NZ_JFXH01000014.1_RGP_2	cluster_0	spot_13
NZ_CP091349.1_RGP_22	cluster_0	spot_13
NZ_AMFU01000013.1_RGP_0	cluster_0	spot_13
NZ_JAXOQU010000001.1_RGP_2	cluster_0	spot_13
NZ_UFMX01000001.1_RGP_4	cluster_0	spot_13
NZ_KB849921.1_RGP_15	cluster_0	spot_13
NZ_CP007535.2_RGP_30	cluster_0	spot_13
NZ_JAAGTI010000003.1_RGP_3	cluster_0	spot_13
NZ_JBDGGJ010000012.1_RGP_6	cluster_0	spot_13
NZ_CP016300.1_RGP_22	cluster_0	spot_13
NZ_JAXOTG010000002.1_RGP_4	cluster_0	spot_13
NZ_JAWLWH010000004.1_RGP_0	cluster_0	spot_13
NZ_JAWXYJ010000015.1_RGP_0	cluster_0	spot_13
NZ_JABLWG010000008.1_RGP_2	cluster_0	spot_13
NZ_VAGR01000007.1_RGP_0	cluster_0	spot_13
NZ_CP136165.1_RGP_20	cluster_0	spot_13
NZ_CP044519.1_RGP_27	cluster_0	spot_13
NZ_JANBMW010000008.1_RGP_1	cluster_0	spot_13
NZ_NGEA01000043.1_RGP_2	cluster_0	spot_13
NZ_JBITAL010000002.1_RGP_2	cluster_0	spot_13
NZ_PEIF01000014.1_RGP_0	cluster_0	spot_13
NZ_CP144249.1_RGP_22	cluster_0	spot_13
NZ_CP012952.1_RGP_23	cluster_0	spot_13
NZ_JAHKDZ010000023.1_RGP_0	cluster_0	No spot
NZ_JABLWB010000003.1_RGP_2	cluster_0	spot_13
NZ_JAIEWC010000031.1_RGP_0	cluster_0	spot_13
NZ_CP012587.1_RGP_18	cluster_0	spot_13
NZ_JARBHR010000008.1_RGP_0	cluster_0	spot_13
NZ_UFRS01000003.1_RGP_22	cluster_0	spot_13
