families	Element_symbol	Element_name	Scope	Type	Subtype	Class	Subclass	Method	Target_length	Reference_sequence_length	Prct_Coverage_of_reference	Prct_Identity_to_reference	Alignment_length	Closest_reference_accession	Closest_reference_name	HMM_accession	HMM_description
ACIWPN_RS18760	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTP	141	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
ACIWPN_RS18775	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	79	78	100.00	78.21	78	AAA88371.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
ACIWPY_RS19455	dfrA7	trimethoprim-resistant dihydrofolate reductase DfrA7	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	158	157	100.00	100.00	157	WP_000703418.1	trimethoprim-resistant dihydrofolate reductase DfrA7	NF000330.1	trimethoprim-resistant dihydrofolate reductase DfrA
ACIWPY_RS19465	blaGES-14	carbapenem-hydrolyzing class A beta-lactamase GES-14	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	288	287	100.00	100.00	287	WP_063860502.1	carbapenem-hydrolyzing class A beta-lactamase GES-14	NF012103.0	GES family class A beta-lactamase
ACJ23B_RS01805	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	136	140	98.57	78.99	138	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
ACJ6JN_RS18930	arsN1	arsinothricin resistance N-acetyltransferase ArsN1 family B	plus	STRESS	METAL	ARSENIC	ARSENIC	HMM	167	186	86.56	43.83	162	AAN67541.1	arsinothricin resistance N-acetyltransferase ArsN1 family B	NF040504.1	arsinothricin resistance N-acetyltransferase ArsN1 family B
ACKPDU_RS10930	blaPER-7	inhibitor-resistant extended-spectrum class A beta-lactamase PER-7	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	309	308	100.00	100.00	308	WP_032495440.1	inhibitor-resistant extended-spectrum class A beta-lactamase PER-7	NF000389.2	PER family extended-spectrum class A beta-lactamase
ACKPDU_RS11040	blaCARB-2	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	288	100.00	100.00	288	WP_001931474.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	NF000480.2	PSE family carbenicillin-hydrolyzing class A beta-lactamase
ACKPDW_RS20035	aadT	multidrug efflux MFS transporter AadT	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	505	504	100.00	97.82	504	AMD83542.1	multidrug efflux MFS transporter AadT	NA	NA
ACLUR6_RS07110	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTP	342	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NF000107.2	aminoglycoside O-phosphotransferase APH(4)-Ia
ACLUR6_RS07115	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTP	259	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NF033081.0	AAC(3)-IV family aminoglycoside N-acetyltransferase
ACM9OC_RS02765	cml	CmlA/FloR family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	422	421	100.00	78.15	421	WP_024160909.1	CmlA/FloR family chloramphenicol efflux MFS transporter	NF033134.0	CmlA/FloR family chloramphenicol efflux MFS transporter
ACN16F_RS09735	blaOXA-542	carbapenem-hydrolyzing class D beta-lactamase OXA-542	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	275	100.00	100.00	275	WP_109545048.1	carbapenem-hydrolyzing class D beta-lactamase OXA-542	NF012161.0	class D beta-lactamase
ACOCIM_RS06690	adeD	multidrug efflux RND transporter periplasmic adaptor subunit AdeD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	375	374	97.59	95.62	365	AAU10477.1	multidrug efflux RND transporter periplasmic adaptor subunit AdeD	NA	NA
ACOCIM_RS06695	adeE	multidrug efflux RND transporter permease subunit AdeE	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1038	1036	100.00	99.04	1037	AAN38824.2	multidrug efflux RND transporter permease subunit AdeE	NA	NA
ACQPWL_RS19915	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	297	296	100.00	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA
ACQPWL_RS19930	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	BLASTP	227	226	100.00	99.56	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
ACSOTD_RS18370	blaOXA-420	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-420	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	281	280	100.00	100.00	280	WP_063862810.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-420	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
ACSOTD_RS18690	dfrA20	trimethoprim-resistant dihydrofolate reductase DfrA20	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	170	169	100.00	100.00	169	WP_032491181.1	trimethoprim-resistant dihydrofolate reductase DfrA20	NF000127.2	trimethoprim-resistant dihydrofolate reductase DfrA20
ACSOTG_RS16875	qnrVC6	quinolone resistance pentapeptide repeat protein QnrVC6	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEP	219	218	100.00	100.00	218	WP_032495607.1	quinolone resistance pentapeptide repeat protein QnrVC6	NF000421.1	QnrVC family quinolone resistance pentapeptide repeat protein
ACSVHF_RS17475	mcr-4.3	phosphoethanolamine--lipid A transferase MCR-4.3	core	AMR	AMR	COLISTIN	COLISTIN	ALLELEP	542	541	100.00	100.00	541	WP_011638903.1	phosphoethanolamine--lipid A transferase MCR-4.3	NF033462.1	MCR-4 family phosphoethanolamine--lipid A transferase
ACTFYI_RS17500	fosA13	FosA13 family fosfomycin resistance glutathione transferase	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	144	143	100.00	93.71	143	XLV46570.1	FosA13 family fosfomycin resistance glutathione transferase	NF051469.1	FosA13 family fosfomycin resistance glutathione transferase
AM457_RS10950	dfrB1	trimethoprim-resistant dihydrofolate reductase DfrB1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	79	78	100.00	100.00	78	WP_000442373.1	trimethoprim-resistant dihydrofolate reductase DfrB1	NF000331.2	trimethoprim-resistant dihydrofolate reductase DfrB
APC87_RS05190	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	EXACTP	302	301	100.00	100.00	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase	NF000254.1	Mph(A) family macrolide 2'-phosphotransferase
APC87_RS05195	mrx(A)	phosphorylated macrolide efflux MFS transporter Mrx(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	EXACTP	413	412	100.00	100.00	412	WP_000004159.1	phosphorylated macrolide efflux MFS transporter Mrx(A)	NA	NA
Aba23S_RS15595	merB	organomercurial lyase MerB	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	BLASTP	213	212	100.00	92.45	212	CAC86907.1	organomercurial lyase MerB	NF033555.1	organomercurial lyase MerB
Aba23S_RS15625	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	79	78	96.15	68.00	75	CAA77325.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
AbaHEU2_RS18835	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	166	165	100.00	100.00	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12	NF000053.2	trimethoprim-resistant dihydrofolate reductase DfrA12
B742_RS0110680	blaOXA-2	oxacillin-hydrolyzing class D beta-lactamase OXA-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	275	100.00	100.00	275	WP_001007673.1	oxacillin-hydrolyzing class D beta-lactamase OXA-2	NF000267.2	OXA-2 family class D beta-lactamase
B754_RS0117185	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	BLASTP	305	294	98.98	100.00	291	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	NF012158.1	Mph(E) family macrolide 2'-phosphotransferase
B7L36_RS09130	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	159	158	100.00	80.38	158	WP_038404949.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	NF033083.0	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
B7L45_RS07505	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	264	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NF033126.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1
B9X85_RS01685	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	152	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
B9X85_RS01695	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	92	91	100.00	84.62	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
B9X85_RS01700	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	142	141	100.00	79.43	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
CP902_RS19735	blaCARB-16	RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	299	298	100.00	100.00	298	WP_015589625.1	RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16	NF000284.1	RTG family carbenicillin-hydrolyzing class A beta-lactamase
CTI08_RS16660	blaOXA	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	282	273	99.27	100.00	271	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
D3X55_RS03240	sat2	streptothricin N-acetyltransferase Sat2	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	175	174	100.00	100.00	174	WP_000704156.1	streptothricin N-acetyltransferase Sat2	NF000358.1	streptothricin N-acetyltransferase Sat2
D3X55_RS03245	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	158	157	100.00	100.00	157	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1	NF000330.1	trimethoprim-resistant dihydrofolate reductase DfrA
D3X55_RS03905	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTP	178	177	100.00	98.31	177	WP_000381803.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NF000064.3	aminoglycoside nucleotidyltransferase ANT(2'')-Ia
D3X55_RS21145	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTP	405	404	100.00	100.00	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NF000219.1	chloramphenicol/florfenicol efflux MFS transporter FloR
D7A46_RS06310	fosA3	fosfomycin resistance glutathione transferase FosA3	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEP	139	138	100.00	100.00	138	WP_014839980.1	fosfomycin resistance glutathione transferase FosA3	NF000075.1	FosA3/FosA4 family fosfomycin resistance glutathione transferase
DFT00_RS19685	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	PARTIALP	74	110	67.27	98.65	74	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
DLI69_RS18590	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	171	170	100.00	100.00	170	WP_031380727.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
DR209_RS11395	blaOXA-235	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	277	276	100.00	100.00	276	WP_000854009.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
DVS54_RS03395	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	285	97.54	43.66	284	WP_063864745.1	subclass B3 metallo-beta-lactamase	NF033105.1	subclass B3 metallo-beta-lactamase
DY186_RS17960	blaOXA-20	oxacillin-hydrolyzing class D beta-lactamase OXA-20	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	267	266	100.00	100.00	266	WP_000586782.1	oxacillin-hydrolyzing class D beta-lactamase OXA-20	NF052298.1	OXA-20 family oxacillin-hydrolyzing class D beta-lactamase
DYB08_RS02890	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	269	267	98.50	100.00	263	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
EA682_RS19340	aacA35	AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	ALLELEP	185	184	100.00	100.00	184	WP_024437054.1	AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35	NF012165.0	aminoglycoside 6'-N-acetyltransferase
EA682_RS19345	aacA43	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA43	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	EXACTP	188	187	100.00	100.00	187	WP_024437351.1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA43	NF033078.2	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
EA732_RS18690	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	153	152	100.00	98.03	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
EGO50_RS11570	aac(6')-Il	aminoglycoside N-acetyltransferase AAC(6')-Il	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	PARTIALP	98	152	64.47	100.00	98	WP_013263788.1	aminoglycoside N-acetyltransferase AAC(6')-Il	NA	NA
EKS29_RS16235	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	BLASTP	288	286	98.60	100.00	282	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId	NF033080.0	AAC(3)-II family aminoglycoside N-acetyltransferase
F2P42_RS19075	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	122	121	100.00	100.00	121	ABF13034.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
F2P42_RS19080	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	79	78	100.00	94.87	78	AAC38236.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
F6D64_RS20275	aac(6')-IIc	aminoglycoside N-acetyltransferase AAC(6')-IIc	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	PARTIALP	102	193	52.85	99.02	102	WP_012695484.1	aminoglycoside N-acetyltransferase AAC(6')-IIc	NA	NA
F6D69_RS19140	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	79	78	100.00	84.62	78	CAA77325.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
F7R60_RS19740	estT	macrolide hydrolase EstT	core	AMR	AMR	MACROLIDE	TYLOSIN	HMM	287	282	98.94	84.59	279	WP_185148407.1	macrolide hydrolase EstT	NF041759.1	macrolide hydrolase EstT
F7R60_RS19745	tet(X5)	tetracycline-inactivating monooxygenase Tet(X5)	core	AMR	AMR	TETRACYCLINE	TIGECYCLINE	EXACTP	389	388	100.00	100.00	388	WP_150378267.1	tetracycline-inactivating monooxygenase Tet(X5)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
FCE98_RS18305	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEP	219	218	100.00	100.00	218	WP_001516695.1	quinolone resistance pentapeptide repeat protein QnrS1	NF000056.3	QnrS family quinolone resistance pentapeptide repeat protein
FE003_RS13600	blaSHV-12	extended-spectrum class A beta-lactamase SHV-12	core	AMR	AMR	BETA-LACTAM	CEFIDEROCOL/CEPHALOSPORIN	ALLELEP	287	286	100.00	100.00	286	WP_002904004.1	extended-spectrum class A beta-lactamase SHV-12	NF000285.3	SHV family class A beta-lactamase
FJU37_RS12910	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	390	388	100.00	98.97	389	WP_068981627.1	extended-spectrum class C beta-lactamase ADC-96	NF000425.2	ADC family extended-spectrum class C beta-lactamase
FJU87_RS16895	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	BLASTP	196	184	100.00	100.00	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
FJU87_RS18625	merG	phenylmercury resistance protein MerG	plus	STRESS	METAL	MERCURY	PHENYLMERCURY	BLASTP	218	217	100.00	96.77	217	BAA23166.1	phenylmercury resistance protein MerG	NF033786.1	phenylmercury resistance protein MerG
FJU87_RS18630	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	570	569	100.00	95.43	569	BAA20337.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
FJU87_RS18635	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	93	91	100.00	82.61	92	BAA20336.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
FJU87_RS18665	merB	organomercurial lyase MerB	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTP	213	212	100.00	100.00	212	AAA88369.1	organomercurial lyase MerB	NF033555.1	organomercurial lyase MerB
